,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000257718,4.49958582760898,5.5603320264998,2.09146074455725,2.65858780327091,0.00784689009846493,0.0340681750237701
ENSG00000258604,4.65847959155397,5.21661699492997,1.63560337531299,3.18941442263271,0.00142561341665791,0.00844494727325319
ENSG00000260025,32.5878383647963,2.67602975239761,0.878637838046534,3.04565730784734,0.00232172291269114,0.0129830745277689
ENSG00000260306,4.46925748431138,5.58612675167773,1.74324992338715,3.20443252383676,0.0013532900731826,0.00808504069362938
ENSG00000260581,2.98978015286998,4.56299978785006,1.56607108878944,2.91366070193992,0.00357217925526408,0.0179636928016517
ENSG00000260927,13.5450979097287,2.34430558986145,0.672940125659352,3.48367633385583,0.000494577201917585,0.0039736720016137
ENSG00000261175,42.050925597389,8.81620849736931,1.46580444435759,6.01458709673456,1.80345783732781e-09,1.80088146898877e-07
ENSG00000261655,5.08090967058109,3.87344788976206,1.35377585856059,2.86121802606269,0.00422016721192366,0.0204853950078794
ENSG00000261821,7.21873457646443,6.27550815280571,1.95381505443649,3.21192537571867,0.00131848618671896,0.00807147470978436
ENSG00000263934,6.13357981711561,4.76718505666932,1.55406779941909,3.06755281748408,0.00215819316920629,0.012264853864026
ENSG00000264127,19.0373585411425,7.66603297865974,2.63772751886022,2.90630208156311,0.00365728183862331,0.0182602857514121
ENSG00000264449,7.39967293671967,6.29531874097398,2.07068675367524,3.04020814823898,0.00236414697666729,0.0131153867991304
ENSG00000265933,7.36407854851354,6.29861447386657,2.47197482513689,2.54800915034309,0.0108339629314918,0.0435076275735619
ENSG00000267383,45.8697469086875,4.01903643283373,1.26764020085326,3.17048672811772,0.00152183784676949,0.00886470545743226
ENSG00000267580,253.592579910743,-1.39949957312426,0.549657589914212,-2.54612980663596,0.0108924675613352,0.0435076275735619
ENSG00000267893,41.9203257833781,6.76749701194907,1.71961295826787,3.9354768637972,8.30316633450905e-05,0.00101823039786348
ENSG00000268179,24.9189438224234,-4.7474152042094,1.70645525145173,-2.78203322364921,0.00540195097670921,0.0250063823358923
ENSG00000269950,4.14750804894814,5.05881507672022,1.39260426313647,3.6326293194928,0.000280547896111839,0.00261470639176234
ENSG00000270022,8.26422623107292,3.76603935804873,1.33016976990973,2.83124714096028,0.00463668789763109,0.022198937263316
ENSG00000270071,2.31461632315697,4.21168421126723,1.51001178829146,2.78917306733918,0.00528428184400668,0.0246247533930711
ENSG00000270093,4.21025836779673,4.64737283397879,1.62144089030189,2.86619935501535,0.00415432544764084,0.0203068076076989
ENSG00000270933,22.9404006478244,3.82029283267743,1.07314492332654,3.5599039324859,0.000370990485667698,0.00324152936852151
ENSG00000272143,9.43864265345694,3.93924907068868,1.45990873049542,2.6982844806688,0.00696978515270233,0.0310310816671269
ENSG00000273079,11.5392616489206,4.1469780142546,1.41501976260335,2.93068558040844,0.00338214910359692,0.0172563665942646
ENSG00000273321,5.46459543263546,2.86279786874207,1.13743215660659,2.51689549316323,0.011839394083207,0.0469960289231369
ENSMUSG00000031972,54.7857898661187,-6.54755860020635,1.88844844270033,-3.46716301708712,0.000525982793988262,0.00413103340446961
ENSMUSG00000045502,30.2041156131169,2.76035638767443,1.04381992218561,2.64447566961036,0.00818175884826724,0.0353027742897457
ENSMUSG00000062345,43.9757419965848,6.38846642568282,1.10713041555976,5.77029258332935,7.9134013845042e-09,5.05580651718746e-07
ENSMUSG00000097636,2.55881632701016,3.31482423286919,1.32266933095881,2.50616246652234,0.0122049524966259,0.0475741503946547
__no_feature,209554.201533263,1.55203007735069,0.606341127310687,2.55966486099076,0.0104773147881112,0.0425793199819169
